Used it for,Owned for,Model Name,Visual Appeal,Reliability,Extra Features,Comfort,Maintenance cost,Value for Money
Commuting,Never owned,TVS iQube,3.0,4.0,,4.0,,1.0
Leisure,> 6 months,TVS iQube,3.0,1.0,,3.0,,3.0
Commuting,<= 6 months,TVS iQube,4.0,4.0,,5.0,,2.0
Commuting,> 6 months,TVS iQube,1.0,1.0,,1.0,,1.0
Commuting,> 6 months,TVS iQube,3.0,4.0,,3.0,,2.0
Commuting,> 6 months,TVS iQube,5.0,1.0,,5.0,,2.0
Commuting,> 6 months,TVS iQube,3.0,2.0,,4.0,,3.0
Commuting,<= 6 months,TVS iQube,3.0,1.0,,2.0,,1.0
Commuting,<= 6 months,TVS iQube,3.0,3.0,,4.0,,3.0
Commuting,<= 6 months,TVS iQube,5.0,3.0,,4.0,,3.0
Commuting,> 6 months,TVS iQube,5.0,5.0,,5.0,,5.0
Commuting,Never owned,TVS iQube,4.0,5.0,,5.0,,5.0
Commuting,> 6 months,TVS iQube,5.0,5.0,,5.0,,4.0
Commuting,Never owned,TVS iQube,4.0,4.0,,4.0,,2.0
Commuting,<= 6 months,TVS iQube,2.0,1.0,,,,2.0
Commuting,Never owned,TVS iQube,4.0,4.0,,3.0,,5.0
Commuting,<= 6 months,TVS iQube,4.0,2.0,,4.0,,1.0
Leisure,Never owned,Revolt RV 400,3.0,1.0,4.0,,,
Leisure,> 6 months,Revolt RV 400,5.0,5.0,,5.0,,
Leisure,<= 6 months,Revolt RV 400,4.0,4.0,,4.0,,
Leisure,Never owned,Revolt RV 400,5.0,5.0,,5.0,,
Commuting,> 6 months,Revolt RV 400,2.0,1.0,,3.0,,
Leisure,> 6 months,Revolt RV 400,1.0,5.0,,3.0,,
Leisure,Never owned,Revolt RV 400,4.0,4.0,4.0,,5.0,
Leisure,Never owned,Revolt RV 400,5.0,5.0,5.0,,5.0,
Commuting,<= 6 months,Revolt RV 400,4.0,5.0,4.0,,4.0,
Leisure,Never owned,Revolt RV 400,1.0,1.0,1.0,,1.0,
Leisure,Never owned,Revolt RV 400,5.0,5.0,5.0,,5.0,
Leisure,<= 6 months,Revolt RV 400,5.0,5.0,5.0,,4.0,
Commuting,Never owned,Revolt RV 400,5.0,5.0,5.0,,4.0,
Leisure,<= 6 months,Revolt RV 400,5.0,4.0,,4.0,,5.0
Commuting,> 6 months,Revolt RV 400,5.0,5.0,5.0,,4.0,
Leisure,Never owned,Revolt RV 400,5.0,5.0,,,,
Commuting,> 6 months,Revolt RV 400,1.0,1.0,1.0,,1.0,
Commuting,<= 6 months,Revolt RV 400,4.0,3.0,,4.0,,
Commuting,Never owned,Revolt RV 400,5.0,3.0,,5.0,,
Commuting,> 6 months,Revolt RV 400,5.0,4.0,,4.0,,
Commuting,<= 6 months,Revolt RV 400,5.0,3.0,,4.0,,
Commuting,Never owned,Revolt RV 400,5.0,4.0,,4.0,,
Commuting,Never owned,Revolt RV 400,3.0,3.0,,3.0,,
Leisure,Never owned,Revolt RV 400,4.0,4.0,,5.0,,
Leisure,<= 6 months,Revolt RV 400,4.0,4.0,,4.0,,
Leisure,<= 6 months,Revolt RV 400,4.0,4.0,4.0,,4.0,
Commuting,> 6 months,Revolt RV 400,5.0,4.0,,5.0,,
Leisure,<= 6 months,Revolt RV 400,5.0,5.0,,5.0,,
Commuting,Never owned,Revolt RV 400,3.0,3.0,,4.0,,
Commuting,Never owned,Revolt RV 400,5.0,5.0,,5.0,,
Commuting,Never owned,Revolt RV 400,4.0,4.0,,4.0,,
Commuting,<= 6 months,Revolt RV 400,4.0,4.0,,4.0,,
Leisure,Never owned,Revolt RV 400,5.0,4.0,,4.0,,
Commuting,> 6 months,Revolt RV 400,3.0,3.0,,3.0,,
Commuting,Never owned,Revolt RV 400,2.0,2.0,,1.0,,
Commuting,Never owned,Revolt RV 400,5.0,5.0,,5.0,,
Leisure,Never owned,Revolt RV 400,5.0,5.0,,5.0,,
Commuting,Never owned,Revolt RV 400,5.0,4.0,,5.0,,
Commuting,<= 6 months,Revolt RV 400,4.0,4.0,,4.0,,
Commuting,> 6 months,Revolt RV 400,4.0,3.0,3.0,,3.0,
Leisure,Never owned,Revolt RV 400,5.0,5.0,,4.0,,
Commuting,> 6 months,Revolt RV 400,2.0,1.0,,2.0,,3.0
Leisure,Never owned,Revolt RV 400,4.0,5.0,,4.0,,
Commuting,> 6 months,Revolt RV 400,4.0,3.0,,3.0,,3.0
Commuting,Never owned,Bajaj Chetak,5.0,5.0,,5.0,,5.0
Leisure,<= 6 months,Bajaj Chetak,5.0,5.0,,5.0,,5.0
Leisure,<= 6 months,Bajaj Chetak,3.0,4.0,,4.0,,4.0
Leisure,Never owned,Bajaj Chetak,5.0,5.0,,5.0,,
Commuting,<= 6 months,Bajaj Chetak,5.0,5.0,,5.0,,5.0
Commuting,> 6 months,Bajaj Chetak,5.0,5.0,4.0,,4.0,
Commuting,<= 6 months,Bajaj Chetak,5.0,5.0,,5.0,,5.0
